Comment: 	Comment: generated by SC12	
CBD [DutMic1-DutMic2]	10.000	0.062
	10.600	0.051
x data lin	11.200	0.039
y data lin	11.800	0.022
z data lin	12.500	0.016
	13.200	0.015
x axis log	14.000	0.017
y axis lin	15.000	0.017
z axis lin	16.000	0.018
	17.000	0.020
Hz	18.000	0.021
	19.000	0.020
deg.	20.000	0.040
	21.200	0.100
	22.400	0.843
	23.600	3.110
	25.000	3.373
	26.500	2.338
	28.000	1.758
	30.000	1.551
	31.500	1.307
	33.500	0.114
	35.500	0.144
	37.500	0.217
	40.000	0.094
	42.500	0.043
	45.000	0.027
	47.500	0.060
	50.000	0.039
	53.000	0.017
	56.000	0.020
	60.000	0.020
	63.000	0.008
	67.000	0.008
	71.000	0.013
	75.000	0.018
	80.000	0.015
	85.000	0.025
	90.000	0.012
	95.000	0.063
	100.000	30.237
	106.000	40.479
	112.000	40.799
	118.000	41.080
	125.000	44.465
	132.000	45.599
	140.000	48.240
	150.000	50.131
	160.000	50.502
	170.000	49.894
	180.000	51.257
	190.000	53.299
	200.000	55.563
	212.000	55.956
	224.000	56.484
	236.000	57.856
	250.000	59.492
	265.000	61.458
	280.000	61.163
	300.000	60.820
	315.000	60.997
	335.000	61.728
	355.000	61.886
	375.000	61.817
	400.000	62.550
	425.000	61.549
	450.000	62.061
	475.000	61.486
	500.000	61.843
	530.000	61.760
	560.000	61.021
	600.000	61.376
	630.000	61.456
	670.000	61.604
	710.000	61.513
	750.000	62.066
	800.000	61.444
	850.000	59.828
	900.000	53.998
	950.000	51.275
	1000.000	45.012
	1060.000	52.684
	1120.000	55.330
	1180.000	54.562
	1250.000	50.098
	1320.000	43.517
	1400.000	50.421
	1500.000	51.120
	1600.000	53.351
	1700.000	58.969
	1800.000	59.947
	1900.000	58.772
	2000.000	54.274
	2120.000	53.645
	2240.000	53.989
	2360.000	53.751
	2500.000	51.797
	2650.000	48.956
	2800.000	53.513
	3000.000	53.886
	3150.000	52.057
	3350.000	52.688
	3550.000	53.065
	3750.000	52.045
	4000.000	53.784
	4250.000	54.766
	4500.000	50.400
	4750.000	48.158
	5000.000	49.980
	5300.000	52.672
	5600.000	54.280
	6000.000	52.496
	6300.000	53.839
	6700.000	51.754
	7100.000	50.226
	7500.000	47.902
	8000.000	28.969
